version,P,time_s,std_s,speedup,efficiency
omp,1,9.1208,0.0227,1.00,1.00
omp,2,4.6615,0.0256,1.96,0.98
omp,4,2.4840,0.0270,3.67,0.92
omp,8,1.2898,0.0022,7.07,0.88
omp,16,0.6913,0.0071,13.19,0.82
omp,32,0.3725,0.0074,24.49,0.77
omp,64,0.3028,0.0147,30.12,0.47
mpi,1,9.2285,0.0312,1.00,1.00
mpi,2,4.6432,0.0043,1.99,0.99
mpi,4,2.3718,0.0092,3.89,0.97
mpi,8,1.2175,0.0066,7.58,0.95
mpi,16,0.6263,0.0009,14.73,0.92
mpi,32,0.3182,0.0033,29.00,0.91
mpi,64,0.1834,0.0124,50.32,0.79
mpi,128,0.1667,0.0421,55.36,0.43
