version,P,grid,time_s,std_s,efficiency
omp,1,8000x2000,0.5732,0.0036,1.00
omp,2,8000x4000,0.5876,0.0057,0.98
omp,4,8000x8000,0.6303,0.0033,0.91
omp,8,8000x16000,0.6465,0.0023,0.89
omp,16,8000x32000,0.6817,0.0009,0.84
omp,32,8000x64000,0.7384,0.0118,0.78
omp,64,8000x128000,0.9513,0.0310,0.60
mpi,1,8000x2000,0.5684,0.0020,1.00
mpi,2,8000x4000,0.5770,0.0024,0.99
mpi,4,8000x8000,0.5935,0.0085,0.96
mpi,8,8000x16000,0.6100,0.0006,0.93
mpi,16,8000x32000,0.6280,0.0007,0.91
mpi,32,8000x64000,0.6293,0.0004,0.90
mpi,64,8000x128000,0.7036,0.0192,0.81
mpi,128,8000x256000,1.5496,0.0482,0.37
